Site,Banding Date,Time,Disposition,Recap,Band Number,Species,Flag,Cohort,FL&ST,Tail,Culmen,Total Head,Tarsus,Age,Fat,Sex,Mass,Blood ,Feathers,Tag Number,Tag A.ID number,Nest ID,Notes
King Salmon,26-May-22,12:01,1,n,129232175,PAGP,.,Or,177,62,24.1,56.8,47.0,1,,F,140.0,y,y,233831,2478,KS_PAGP22_04,
King Salmon,27-May-22,13:01,1,n,129231997,PAGP,.,Or,180,65,29.1,59.8,45.3,1,,M,122.0,y,y,233832,2479,KS_PAGP22_06,
King Salmon,30-May-22,11:20,1,n,129231998,PAGP,.,Or,175,65,26.9,61.1,47.5,1,,M,135.0,y,y,233833,2480,KS_PAGP22_03,
King Salmon,1-Jun-22,23:13,1,n,129232017,PAGP,.,Or,171,61,24.9,57.2,45.5,1,,F,126.0,y,y,233834,2481,KS_PAGP22_06,
Nome,18-Jun-22,17:40,1,n,129232043,PAGP,.,Or,170,63,25.7,59.1,45.1,1,,M,126.0,y,y,233835,2482,Nome_PAGP22_01,
Nome,18-Jun-22,19:30,1,n,129232044,PAGP,.,Or,171,56,25,58,46.4,1,,M,124.0,y,y,233836,2483,Nome_PAGP22_02,
Nome,18-Jun-22,20:41,1,n,129232045,PAGP,.,Or,178,59,23.3,55.3,45.2,1,,F,116.0,y,y,233837,2484,Nome_PAGP22_03,
Nome,19-Jun-22,8:45,1,n,129232042,PAGP,.,Or,170,58,24.4,56.9,45.1,1,,F,120.0,y,y,233838,2534,Nome_PAGP22_01,
Nome,19-Jun-22,10:55,1,n,129232046,PAGP,.,Or,176,60,24.9,56.8,43.8,1,,F,120.0,y,y,233839,2535,Nome_PAGP22_02,
Nome,20-Jun-22,13:59,1,n,129232047,PAGP,.,Or,173,57,24,57.2,42.4,1,,F,134.0,y,y,233842,2538,Nome_PAGP22_06,
Nome,20-Jun-22,18:42,1,n,129232048,PAGP,.,Or,171,58,23.9,58.2,45.4,1,,M,126.0,y,y,233840,2536,Nome_PAGP22_03,
Nome,20-Jun-22,20:39,1,n,129232049,PAGP,.,Or,173,59,23.9,59.6,45.1,1,,M,130.0,y,y,233841,2537,Nome_PAGP22_05,
Nome,23-Jun-22,20:53,1,n,129232060,PAGP,.,Or,173,60,25.3,57.2,46.0,1,,F,132.0,y,y,233843,2539,Nome_PAGP22_04,
Nome,28-Jun-22,14:05,1,n,129232062,PAGP,.,Or,173,59,21.6,56.6,44.9,1,,F,130.0,y,y,233844,2540,Nome_PAGP22_07,
Nome,28-Jun-22,18:14,1,n,129232063,PAGP,.,Or,172,56,24.6,57.8,43.3,1,,M,132.0,y,y,233859,2555,Nome_PAGP22_08,
Nome,16-Jun-22,11:55,1,n,129232041,AMGP,.,Or,188,66,22.6,56.6,45.5,1,,M,142.0,y,y,233845,2541,Nome_AMGP_2201,
Nome,16-Jun-22,16:20,1,n,171348940,AMGP,.,Or,188,64,22.8,56.3,45.0,1,,F,160.0,y,y,233846,2542,Nome_AMGP_2202,
Nome,16-Jun-22,21:27,1,n,171348941,AMGP,.,Or,184,64,25.7,60,46.6,1,,F,168.0,y,y,233847,2543,Nome_AMGP_2201,
Nome,24-Jun-22,11:26,1,n,171348942,AMGP,.,Or,187,66,22.4,58.3,43.9,1,,M,146.0,y,y,233848,2544,Nome_AMGP_2203,
